# FEAT_ID     Score                   Feature Expression
61            0.509719414611320643    ((av_E_b_C_subsurf / particle_diameter) / (av_d_band_center_surf - av_BE_H_surf))
62            0.510374189162142278    ((av_delta_M1_M2_subsurf / av_B_0) / (av_d_band_center_surf - av_BE_H_surf))
63            0.510967446452191942    ((total_metal_loading / av_EA) / (av_d_band_center_surf - av_BE_H_surf))
64            0.511102643336750817    ((total_metal_loading / av_PE) / (av_d_band_center_surf - av_BE_H_surf))
65            0.511332496805470993    ((ln(-1.0*av_W_change_H+5.914761e-01)) / (av_d_band_center_surf - av_BE_H_surf))
66            0.511353866623187159    ((surface_area / av_B_0) / (av_d_band_center_surf - av_BE_H_surf))
67            0.51145485440632299     ((exp(-1.0 * av_PE)) / (av_d_band_center_surf - av_BE_H_surf))
68            0.51202330527502804     ((av_E_def_subsurf / av_bulk_int_dist) / (av_d_band_center_surf - av_BE_H_surf))
69            0.512131618550850098    ((av_E_def_subsurf / av_BE_H_subsurf) / (av_d_band_center_surf - av_BE_H_surf))
70            0.512177134283829383    ((av_W_change_H^2) / (av_d_band_center_surf - av_BE_H_surf))
71            0.512342101494811186    ((av_E_def_subsurf / av_E_coh) / (av_d_band_center_surf - av_BE_H_surf))
72            0.513299879870779407    ((total_metal_loading^2) / (av_d_band_center_surf - av_BE_H_surf))
73            0.513354738682356149    ((av_E_def_subsurf / av_mu_C_critical_surf) / (av_d_band_center_surf - av_BE_H_surf))
74            0.514701748450025143    ((av_E_def_subsurf / av_IP) / (av_d_band_center_surf - av_BE_H_surf))
75            0.515040684557389383    ((total_metal_loading / av_B_0) / (av_d_band_center_surf - av_BE_H_surf))
76            0.51836588368842984     ((av_W_change_H / particle_diameter) / (av_d_band_center_surf - av_BE_H_surf))
77            0.518566499446465268    ((av_delta_M1_M2_subsurf^3) / (av_d_band_center_surf - av_BE_H_surf))
78            0.518975338343581227    ((av_delta_M1_M2_subsurf * av_E_def_subsurf) / (av_d_band_center_surf - av_BE_H_surf))
79            0.519633348585944899    ((av_E_def_subsurf * surface_area) / (av_d_band_center_surf - av_BE_H_surf))
80            0.520947103603854211    ((av_E_def_subsurf / av_PE) / (av_d_band_center_surf - av_BE_H_surf))
81            0.521089561435852278    ((av_E_def_subsurf / av_EA) / (av_d_band_center_surf - av_BE_H_surf))
82            0.521261846769768833    ((av_W_change_H^3) / (av_d_band_center_surf - av_BE_H_surf))
83            0.522804201651298039    ((av_E_def_subsurf * total_metal_loading) / (av_d_band_center_surf - av_BE_H_surf))
84            0.523807176388781826    ((av_E_def_subsurf / av_B_0) / (av_d_band_center_surf - av_BE_H_surf))
