# FEAT_ID     Feature Postfix Expression (RPN)
0             18|12|sub
1             12|cbrt
2             14|12|add
3             16|11|mult
4             13|12|sub
5             13|12|mult
6             12|abs
7             12
8             16|19|div
9             12|sq
10            19|8|div
11            19|inv
12            13|8|mult
13            16|exp:9.8284580408536e-01,0.0000000000000e+00
14            19|18|div
15            16|13|sub
16            19|16|div
17            19|exp:8.9424373525194e-01,0.0000000000000e+00
18            16|inv
19            17|11|sub
20            19|13|sub
21            16|12|add
22            19|12|add
23            19|14|abd
24            19|14|sub
25            17|13|abd
26            17|13|sub
27            19|log:-1.0000000000000e+00,4.7151403178613e-02
28            16|log:-1.0000000000000e+00,1.4470314943321e-02
29            19|cbrt
30            19|cb
31            16|cbrt
32            16|13|mult
33            13|11|sub
34            19|11|mult
35            16|12|mult
36            19|12|mult
37            19
38            16
39            17|12|add
40            19|sq
41            19|13|mult
42            19|16|add
43            12|11|add
44            16|sp
45            19|16|mult
46            16|sq
47            16|cb
48            13|11|mult
49            12|11|mult
#-----------------------------------------------------------------------
50            0|11|div
51            0|12|div
52            0|13|div
53            0|19|div
54            0|1|div
55            0|14|div
56            4|0|mult
57            0|9|div
58            0|6|div
59            7|0|div
60            8|0|div
61            5|0|div
62            0|16|div
63            10|0|div
64            1|0|div
65            0|15|div
66            0|inv
67            8|0|mult
68            9|0|div
69            7|0|mult
70            0|7|div
71            15|0|div
72            0|5|div
73            16|0|div
74            10|0|mult
75            11|0|div
76            4|0|div
77            5|0|mult
78            19|0|div
79            12|0|div
80            1|0|mult
81            13|0|div
82            0
83            19|0|mult
84            0|18|div
85            12|0|mult
86            0|4|div
87            11|0|mult
88            16|0|mult
89            13|0|mult
90            9|0|mult
91            14|0|div
92            0|8|div
93            2|0|mult
94            15|0|mult
95            0|sqrt
96            14|0|mult
97            0|cbrt
98            0|log:1.0000000000000e+00,8.1232516158803e+00
99            3|0|mult
#-----------------------------------------------------------------------
100           3|exp:5.2942943615056e-01,0.0000000000000e+00
101           7|3|mult
102           3|15|div
103           14|4|div
104           4|3|mult
105           10|3|mult
106           3|1|mult
107           3|sq
108           3|6|div
109           14|2|mult
110           3|9|div
111           5|3|mult
112           8|3|mult
113           3|16|div
114           3|2|div
115           19|3|mult
116           11|3|mult
117           3|4|div
118           9|3|mult
119           12|3|mult
120           2|log:1.0000000000000e+00,-2.9999296642536e+00
121           14|3|div
122           13|3|div
123           13|3|mult
124           3|5|div
125           3
126           3|7|div
127           19|3|div
128           1|3|div
129           16|3|mult
130           3|18|div
131           11|3|div
132           3|sqrt
133           16|3|div
134           4|3|div
135           15|3|div
136           3|cbrt
137           6|3|div
138           3|inv
139           3|log:1.0000000000000e+00,-2.7931886040477e-01
140           9|3|div
141           10|3|div
142           15|3|mult
143           3|8|div
144           18|3|div
145           8|3|div
146           2|3|div
147           5|3|div
148           7|3|div
149           14|3|mult
#-----------------------------------------------------------------------
150           14|9|mult
151           9|14|div
152           8|14|div
153           5|14|div
154           16|14|div
155           14|1|mult
156           14|5|mult
157           14|inv
158           15|4|div
159           14|8|div
160           4|log:1.0000000000000e+00,-4.9999992065998e+01
161           15|17|div
162           14|cbrt
163           14|17|div
164           15|1|mult
165           15|8|div
166           14|sp
167           15|1|add
168           14|sqrt
169           3|17|div
170           14
171           14|exp:8.2236664754147e-01,0.0000000000000e+00
172           14|log:-1.0000000000000e+00,3.8901448722781e-01
173           14|8|mult
174           1|4|div
175           14|sq
176           14|cb
177           1|17|div
178           14|16|div
179           15|14|mult
180           2|17|div
181           8|17|div
182           17|inv
183           5|17|div
184           7|17|div
185           4|17|div
186           9|17|div
187           4|14|div
188           16|17|div
189           10|17|div
190           7|4|mult
191           11|17|div
192           13|17|div
193           12|17|div
194           19|17|div
195           18|0|div
196           6|0|div
197           2|0|div
198           3|0|div
199           0|17|div
#-----------------------------------------------------------------------
200           15|8|mult
201           15|7|mult
202           17|3|mult
203           4|2|mult
204           17|14|sub
205           12|6|mult
206           17|4|div
207           13|6|mult
208           16|15|mult
209           18|6|div
210           6|18|div
211           15|inv
212           16|4|mult
213           14|6|mult
214           4|1|div
215           15|log
216           4|5|div
217           15|cbrt
218           15|sqrt
219           4|6|div
220           15|5|mult
221           14|7|mult
222           15|1|sub
223           15|nexp
224           15
225           15|exp
226           15|exp:1.0966912421429e+00,0.0000000000000e+00
227           4|sq
228           15|sq
229           15|9|mult
230           4|9|div
231           15|cb
232           5|4|mult
233           16|4|div
234           10|4|div
235           4
236           8|4|div
237           6|4|div
238           4|sqrt
239           7|4|div
240           4|cbrt
241           7|log:-1.0000000000000e+00,2.5060000001000e+00
242           5|log:-1.0000000000000e+00,9.1371000001000e+00
243           1|log:1.0000000000000e+00,-8.2999982922559e-03
244           15|log:-1.0000000000000e+00,9.3470000100000e-02
245           5|4|div
246           9|4|div
247           4|inv
248           8|4|mult
249           4|15|div
#-----------------------------------------------------------------------
