# FEAT_ID     Score                   Feature Expression
100           0.236416802311612995    (av_BE_H_surf * particle_diameter)
101           0.238435727300584543    (av_bulk_int_dist * std_dev)
102           0.243971437980484707    (av_mu_C_critical_subsurf * particle_diameter)
103           0.244934928959886306    (av_E_b_C_subsurf * particle_diameter)
104           0.247264969055649625    (av_BE_H_subsurf * particle_diameter)
105           0.249089380158685397    (av_mu_C_critical_surf * particle_diameter)
106           0.249233212013990624    (std_dev / av_PE)
107           0.251682376049494172    (std_dev / av_IP)
108           0.260137777792769809    (av_PE * std_dev)
109           0.27740415083575809     std_dev
110           0.277785080353744607    (particle_diameter^2)
111           0.280440942936802107    (av_IP * std_dev)
112           0.286105354426375302    (std_dev / surface_area)
113           0.290770359662889444    (av_B_0 * std_dev)
114           0.299095741011045912    (av_BE_H_subsurf * std_dev)
115           0.306830592673755065    (av_BE_H_surf * std_dev)
116           0.307843856071596478    (av_mu_C_critical_subsurf * std_dev)
117           0.316023504839261893    sqrt(std_dev)
118           0.316677688048084049    (av_E_b_C_subsurf * std_dev)
119           0.317143783357687115    (av_mu_C_critical_surf * std_dev)
120           0.317342171646717353    (std_dev / av_bulk_int_dist)
121           0.319098826714808159    (av_E_coh * std_dev)
122           0.324465706540427834    (av_delta_M1_M2_subsurf * std_dev)
123           0.327108886940925436    cbrt(std_dev)
124           0.333718847375044425    (particle_diameter^3)
125           0.335434775527616358    (av_EA / std_dev)
126           0.336225279361179796    (std_dev / av_d_band_center_surf)
127           0.340460671493852618    (av_E_def_subsurf / std_dev)
128           0.346974600700911573    (av_mu_C_critical_subsurf / std_dev)
129           0.347131864747031338    (av_E_b_C_subsurf / std_dev)
130           0.350251781642516746    (av_BE_H_subsurf / std_dev)
131           0.352497052023065582    (av_mu_C_critical_surf / std_dev)
132           0.353158334768711391    (av_B_0 / std_dev)
133           0.359485947551760721    (std_dev - particle_diameter)
134           0.361598358730577552    (total_metal_loading / std_dev)
135           0.362180172932026645    (av_delta_M1_M2_subsurf / std_dev)
136           0.367190811497236314    (av_BE_H_surf / std_dev)
137           0.367522389152477202    (particle_diameter / std_dev)
138           0.368443901554387998    (av_E_coh / std_dev)
139           0.376974500469292872    (surface_area / std_dev)
140           0.381897244745815878    (1.0 / std_dev)
141           0.382889452095255933    (av_IP / std_dev)
142           0.384883950535108044    (av_PE / std_dev)
143           0.392508156539059627    (particle_diameter^6)
144           0.39480423352057159     (std_dev / particle_diameter)
145           0.395785240640849745    (av_bulk_int_dist / std_dev)
146           0.395870094533028516    (ln(-1.0*particle_diameter+9.000000e+00))
147           0.397365117058427531    (exp(1.103896e+00*particle_diameter))
148           0.400509589850801095    (av_E_def_subsurf * std_dev)
149           0.416192978785377032    (av_d_band_center_surf / std_dev)
#-----------------------------------------------------------------------
150           0.133576719653393572    (surface_area * time)
151           0.133924076686072202    (av_E_b_C_subsurf * time)
152           0.133978927691668942    (surface_area / av_PE)
153           0.135344920852996375    (time / av_EA)
154           0.135773001760576939    (av_mu_C_critical_subsurf * time)
155           0.13654375724327647     (surface_area / av_IP)
156           0.136848954084479557    (av_mu_C_critical_surf * time)
157           0.1387128823670018      (av_E_coh * time)
158           0.140581269593917174    (av_BE_H_subsurf * time)
159           0.14073284768533742     (av_BE_H_surf / surface_area)
160           0.140781916837242643    (time / av_bulk_int_dist)
161           0.145419876619490518    (1.0 / surface_area)
162           0.147046883404319012    (ln(1.0*surface_area-1.830531e+01))
163           0.147180853068575035    (av_BE_H_surf * time)
164           0.14737636904227433     (av_PE * time)
165           0.147813628320081852    (av_d_band_center_surf / time)
166           0.14793228561275909     (av_IP * time)
167           0.148744327347419769    cbrt(surface_area)
168           0.149076972257264934    sqrt(surface_area)
169           0.149941606808931732    surface_area
170           0.150254265762912537    (surface_area / time)
171           0.150430881519748372    (time / av_IP)
172           0.150561671538344932    (av_delta_M1_M2_subsurf / time)
173           0.151025022943253318    (surface_area^2)
174           0.151081328354837452    (av_E_def_subsurf / time)
175           0.151747578022203761    (time / av_PE)
176           0.151852882021820484    (time / av_BE_H_subsurf)
177           0.152250289168255504    time
178           0.153092686826400814    (surface_area^3)
179           0.15333055399556339     (total_metal_loading / time)
180           0.154483458918602101    (time / av_mu_C_critical_subsurf)
181           0.154571529434468447    (time / av_BE_H_surf)
182           0.155778943771098161    (time / av_mu_C_critical_surf)
183           0.156685675558097204    (time / av_E_b_C_subsurf)
184           0.158495563997637645    (time / av_E_coh)
185           0.161179219357578868    (time / av_B_0)
186           0.16192804065913885     (av_bulk_int_dist * time)
187           0.163412852609871068    (time / surface_area)
188           0.164219042400795406    (av_bulk_int_dist * surface_area)
189           0.164825635842341806    (av_d_band_center_surf * time)
190           0.172590700162315702    sqrt(time)
191           0.172903510183240905    (av_IP * surface_area)
192           0.175442942365686888    (av_PE * surface_area)
193           0.177727689999690491    cbrt(time)
194           0.178988141291513581    (time / av_delta_M1_M2_subsurf)
195           0.182183864623590763    (ln(1.0*time+3.637717e+00))
196           0.190922321131702877    (time / av_E_def_subsurf)
197           0.201255738664947031    (total_metal_loading * time)
198           0.203471257906457703    (particle_diameter * time)
199           0.234531075764417646    (std_dev * time)
#-----------------------------------------------------------------------
200           0.01795587110618245     (av_mu_C_critical_surf / av_E_def_subsurf)
201           0.0180457527149772631   (exp(1.965750e+00*std_dev))
202           0.0180570787423843734   (surface_area / av_mu_C_critical_subsurf)
203           0.0180736846979061422   (av_delta_M1_M2_subsurf / av_mu_C_critical_subsurf)
204           0.0183570278365328618   (av_E_def_subsurf / av_BE_H_subsurf)
205           0.0184644013939883542   (av_BE_H_surf * av_bulk_int_dist)
206           0.0185087854301396529   (av_E_def_subsurf / surface_area)
207           0.0185786361750604791   (surface_area / av_E_b_C_subsurf)
208           0.0187103093251875692   (av_delta_M1_M2_subsurf / av_E_coh)
209           0.0189049884755836048   (av_mu_C_critical_subsurf / av_E_b_C_subsurf)
210           0.0189049884755837089   (av_E_def_subsurf / av_E_b_C_subsurf)
211           0.0189794559833678864   (av_E_def_subsurf / av_mu_C_critical_subsurf)
212           0.0189794559833687052   (av_E_b_C_subsurf / av_mu_C_critical_subsurf)
