 Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy_0 | MAE_energy_1 | MAE_energy_2 | MAE_energy_0_grad | MAE_energy_1_grad | MAE_energy_2_grad | GPU Memory (MB)
the training has failed
 Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy_0 | MAE_energy_1 | MAE_energy_2 | MAE_energy_0_grad | MAE_energy_1_grad | MAE_energy_2_grad | GPU Memory (MB)
the training has failed
 Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy_0 | MAE_energy_1 | MAE_energy_2 | MAE_energy_0_grad | MAE_energy_1_grad | MAE_energy_2_grad | GPU Memory (MB)
the training has failed
 Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy_0 | MAE_energy_1 | MAE_energy_2 | MAE_energy_0_grad | MAE_energy_1_grad | MAE_energy_2_grad | GPU Memory (MB)
58:41 |     1 |     1.000e-04 | 19714.1912 |       8533.2832 |      38.9740 |      13.5067 |      12.9121 |           29.2537 |           24.9034 |           29.0122 |               0
59:08 |     2 |     1.000e-04 |  6826.1387 |       5378.4468 |      20.3575 |      13.7952 |       9.9151 |           18.4024 |           19.7374 |           23.6329 |               0
59:37 |     3 |     1.000e-04 |  5149.6622 |       4596.2485 |      15.2949 |      13.9299 |      10.6816 |           14.6330 |           18.2536 |           21.7450 |               0
00:10 |     4 |     1.000e-04 |  4566.5197 |       4273.4126 |      13.3693 |      14.1221 |       9.4238 |           12.9672 |           17.2567 |           21.2212 |               0
00:37 |     5 |     1.000e-04 |  4309.5768 |       4410.6113 |      13.7482 |      22.4599 |      21.3439 |           12.1018 |           17.2426 |           21.5587 |               0
01:04 |     6 |     1.000e-04 |  4118.8687 |       3897.3960 |      12.6811 |      13.2850 |       8.7258 |           11.3172 |           16.3306 |           19.6448 |               0
01:32 |     7 |     1.000e-04 |  3864.9871 |       3777.8848 |      11.6299 |      12.8135 |       8.6077 |           11.0963 |           16.2299 |           19.6081 |               0
02:01 |     8 |     1.000e-04 |  3843.3376 |       3581.7056 |      10.6891 |      12.3489 |       8.5376 |           10.8939 |           15.6669 |           18.7535 |               0
02:31 |     9 |     1.000e-04 |  3701.1704 |       3619.1101 |      11.6870 |      11.8689 |       8.4318 |           10.7222 |           16.0293 |           19.0134 |               0
03:02 |    10 |     1.000e-04 |  3554.0408 |       3611.1655 |      11.0929 |      13.9295 |      11.7166 |           10.5023 |           16.1469 |           19.5106 |               0
03:32 |    11 |     1.000e-04 |  3546.9795 |       3445.9875 |      10.6116 |      12.3029 |       8.7515 |           10.2318 |           15.4098 |           18.5290 |               0
04:01 |    12 |     1.000e-04 |  3400.6925 |       3392.8188 |       9.6156 |      12.1123 |       8.8396 |           10.1516 |           15.0722 |           17.7598 |               0
04:32 |    13 |     1.000e-04 |  3356.6060 |       3336.2000 |       9.4234 |      12.3268 |       7.8424 |            9.9651 |           14.8975 |           17.6361 |               0
