# FEAT_ID     Feature Postfix Expression (RPN)
0             6|7|div|19|17|abd|mult
1             14|2|div|15|sp|div
2             9|6|div|19|13|add|div
3             18|6|abd|13|8|div|mult
4             10|9|div|13|6|mult|div
5             10|9|div|12|6|mult|div
6             10|6|div|19|16|mult|div
7             18|16|div|16|6|div|sub
8             7|13|div|6|inv|add
9             8|13|div|18|6|abd|div
10            16|6|mult|exp:2.7502905124441e+00,0.0000000000000e+00,6.0745936102910e-01,-1.2276494178003e-01
11            19|6|mult|exp:2.0000036673884e+00,0.0000000000000e+00,-7.9685087602566e-01,-1.3570767824723e-01
12            18|14|div|13|5|sub|div
13            6|log:1.0000000000000e+00,-8.3268236901209e-01|19|6|div|sub
14            6|19|div|13|6|sub|mult
15            19|6|sub|12|6|mult|div
16            12|6|mult|exp:6.1785266156418e-01,0.0000000000000e+00,-2.0853141438320e+00,-1.9339412585961e-01
17            5|6|div|18|19|div|add
18            7|12|div|6|inv|abd
19            18|1|div|6|cb|div
20            10|6|div|16|13|mult|div
21            6|10|div|16|12|sub|mult
22            19|6|sub|13|6|mult|div
23            7|16|div|6|inv|sub
24            18|1|div|6|sq|div
25            6|14|div|8|sp|div
26            16|10|div|13|6|mult|mult
27            11|6|mult|exp:1.1634179222404e+00,0.0000000000000e+00,5.9507400823723e-01,-4.8799450752879e-01
28            10|12|div|16|6|mult|div
29            10|6|div|11|6|add|div
30            16|10|div|12|6|mult|mult
31            19|6|div|13|6|sub|div
32            6|19|div|12|6|add|mult
33            6|log:1.0000000000000e+00,-8.3268236901209e-01|18|16|div|abd
34            11|6|div|12|6|add|div
35            11|6|div|13|6|sub|div
36            19|6|div|18|16|div|sub
37            17|6|mult|exp:1.4047026484656e+02,0.0000000000000e+00,-1.1058509769724e-01,-9.1752513363684e-01
38            19|6|div|12|6|add|div
39            5|19|div|5|6|div|abd
40            8|sp|14|6|div|mult
41            6|18|div|exp:1.1763222674711e+00,0.0000000000000e+00,-9.1811829828577e-01,1.9824470670000e+00
42            6|11|div|12|6|add|mult
43            18|6|div|exp:1.9813998444375e-01,0.0000000000000e+00,1.6100707904025e+00,-8.9899982089993e-01
44            6|11|div|13|6|sub|mult
45            11|6|add|6|10|div|mult
46            6|8|div|14|6|add|div
47            8|6|div|14|6|add|mult
48            18|14|mult|exp:7.1012020202860e+01,0.0000000000000e+00,2.3985873156208e+00,-2.0866214441064e-01
49            17|2|mult|exp:5.2646461287180e+01,0.0000000000000e+00,-7.2387063518995e-02,-5.8919715010374e+00
#-----------------------------------------------------------------------
50            17|log:-1.0000000000000e+00,3.7994267820032e-01|18|16|sub|div
51            4|sq|18|16|sub|div
52            15|7|div|18|16|sub|div
53            15|6|div|18|16|sub|div
54            12|2|div|18|16|sub|div
55            4|7|div|18|16|sub|div
56            4|6|div|18|16|sub|div
57            14|16|div|18|16|sub|div
58            14|18|div|18|16|sub|div
59            17|2|div|18|16|sub|div
60            15|1|mult|18|16|sub|div
61            13|2|div|18|16|sub|div
62            4|1|mult|18|16|sub|div
63            15|10|div|18|16|sub|div
64            1|6|div|18|16|sub|div
65            1|7|div|18|16|sub|div
66            4|10|div|18|16|sub|div
67            7|nexp|18|16|sub|div
68            17|sq|18|16|sub|div
69            14|8|div|18|16|sub|div
70            14|19|div|18|16|sub|div
71            14|9|div|18|16|sub|div
72            1|sq|18|16|sub|div
73            14|11|div|18|16|sub|div
74            17|cb|18|16|sub|div
75            14|5|div|18|16|sub|div
76            3|2|add|14|8|div|mult
77            1|10|div|18|16|sub|div
78            15|cb|18|16|sub|div
79            15|14|mult|18|16|sub|div
80            14|4|mult|18|16|sub|div
81            14|7|div|18|16|sub|div
82            14|6|div|18|16|sub|div
83            14|1|mult|18|16|sub|div
84            15|2|div|18|16|sub|div
85            14|10|div|18|16|sub|div
86            4|2|div|18|16|sub|div
87            1|2|div|18|16|sub|div
88            1|cb|18|16|sub|div
89            14|sq|18|16|sub|div
90            6|log:1.0000000000000e+00,-8.3268236901209e-01|18|16|sub|div
91            14|2|div|18|16|sub|div
92            17|14|add|18|16|sub|div
93            13|11|add|18|16|sub|div
94            15|sp|18|16|sub|div
95            14|cb|18|16|sub|div
96            3|2|div|exp:1.1984270450186e-05,0.0000000000000e+00,1.1161171227458e+05,-3.5528171028924e+00
97            12|11|abd|18|16|sub|div
98            12|11|sub|18|16|sub|div
99            14|sp|18|16|sub|div
#-----------------------------------------------------------------------
100           3|2|sub|18|0|mult|mult
101           0|cbrt|4|log:1.0000000000000e+00,-3.2313918087003e+01|div
102           3|2|sub|0|19|div|mult
103           3|2|sub|0|sqrt|mult
104           0|log:1.0000000000000e+00,-4.0449728449019e+00|8|4|mult|div
105           9|4|mult|0|log:1.0000000000000e+00,-4.0449728449019e+00|div
106           8|0|mult|3|2|sub|mult
107           3|2|sub|0|11|div|mult
108           0|log:1.0000000000000e+00,-4.0449728449019e+00|2|cbrt|mult
109           2|0|mult|3|0|mult|sub
110           0|log:1.0000000000000e+00,-4.0449728449019e+00|4|div
111           3|2|sub|0|8|div|mult
112           2|4|div|0|sqrt|mult
113           4|log:1.0000000000000e+00,-3.2313918087003e+01|0|log:1.0000000000000e+00,-4.0449728449019e+00|sub
114           2|0|mult|1|4|div|mult
115           3|2|sub|0|9|div|mult
116           3|2|sub|0|5|div|mult
117           3|2|sub|0|16|div|mult
118           3|2|sub|0|7|div|mult
119           0|log:1.0000000000000e+00,-4.0449728449019e+00|4|sqrt|div
120           0|sqrt|11|4|mult|div
