Time,Learning rate,Train loss,Validation loss,MAE_energy_0,MAE_energy_1,MAE_energy_2,MAE_energy_0_grad,MAE_energy_1_grad,MAE_energy_2_grad
28.310250997543335,0.0001,24134.846560202204,14976.138,205.57885416666667,47.721285807291665,86.09447265625,38.462806712962966,28.043177083333333,33.992780671296295
57.87029480934143,0.0001,10952.956501608456,7670.5557,136.24838541666668,15.413629557291667,69.50787760416667,27.48832175925926,24.51029224537037,27.10599826388889
86.25921583175659,0.0001,5916.775801355699,4252.566,32.249957682291665,22.47165364583333,26.69158203125,22.008457754629628,21.826501736111112,24.998932291666666
113.64276003837585,0.0001,3885.184928768382,3398.7754,20.65458984375,16.216692708333333,10.351302083333334,17.80171730324074,20.600013020833334,23.5251953125
141.54578804969788,0.0001,3236.097053079044,3023.716,18.021028645833333,15.398243815104166,10.001558430989583,16.014421296296295,19.851320891203702,23.075729166666665
168.67457175254822,0.0001,2897.9034771369484,2746.6165,16.040413411458335,15.284638671875,9.361001790364583,14.2454296875,18.95537037037037,22.310065104166668
196.29336309432983,0.0001,2704.584940257353,2586.8152,14.822757161458334,15.0357958984375,9.825812174479166,13.738013599537037,18.3418359375,21.809239004629628
223.24643206596375,0.0001,2501.8341851447612,2421.5503,13.470914713541667,15.228946940104167,8.923618977864583,12.803420138888889,17.9044140625,21.5834375
250.54496693611145,0.0001,2369.360714901195,2352.2795,13.208876953125,14.4717333984375,9.042293294270833,12.48265769675926,17.728546006944445,21.06209201388889
277.9458770751953,0.0001,2270.4166521139705,2235.5923,12.65154052734375,14.406632486979166,9.297989908854166,11.866365017361112,17.42241608796296,20.778745659722222
305.9463167190552,0.0001,2198.1103492647057,2274.8855,12.373135579427084,14.185955403645833,8.555811360677083,12.12396412037037,17.51882957175926,20.885571469907408
335.3928818702698,0.0001,2141.3885592830884,2164.2373,11.529788411458334,14.465887044270833,8.8544580078125,11.86095486111111,16.987602719907407,20.570170717592593
364.09118008613586,0.0001,2087.925157398897,2113.083,11.2124658203125,14.172716471354166,8.589949544270834,11.394877748842593,16.879542824074075,20.340749421296298
