 Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy_0 | MAE_energy_1 | MAE_energy_2 | MAE_energy_0_grad | MAE_energy_1_grad | MAE_energy_2_grad | GPU Memory (MB)
07:44 |     1 |     1.000e-04 | 24134.8466 |      14976.1377 |     205.5789 |      47.7213 |      86.0945 |           38.4628 |           28.0432 |           33.9928 |               0
08:13 |     2 |     1.000e-04 | 10952.9565 |       7670.5557 |     136.2484 |      15.4136 |      69.5079 |           27.4883 |           24.5103 |           27.1060 |               0
08:41 |     3 |     1.000e-04 |  5916.7758 |       4252.5659 |      32.2500 |      22.4717 |      26.6916 |           22.0085 |           21.8265 |           24.9989 |               0
09:09 |     4 |     1.000e-04 |  3885.1849 |       3398.7754 |      20.6546 |      16.2167 |      10.3513 |           17.8017 |           20.6000 |           23.5252 |               0
09:37 |     5 |     1.000e-04 |  3236.0971 |       3023.7161 |      18.0210 |      15.3982 |      10.0016 |           16.0144 |           19.8513 |           23.0757 |               0
10:04 |     6 |     1.000e-04 |  2897.9035 |       2746.6165 |      16.0404 |      15.2846 |       9.3610 |           14.2454 |           18.9554 |           22.3101 |               0
10:32 |     7 |     1.000e-04 |  2704.5849 |       2586.8152 |      14.8228 |      15.0358 |       9.8258 |           13.7380 |           18.3418 |           21.8092 |               0
10:58 |     8 |     1.000e-04 |  2501.8342 |       2421.5503 |      13.4709 |      15.2289 |       8.9236 |           12.8034 |           17.9044 |           21.5834 |               0
11:26 |     9 |     1.000e-04 |  2369.3607 |       2352.2795 |      13.2089 |      14.4717 |       9.0423 |           12.4827 |           17.7285 |           21.0621 |               0
11:53 |    10 |     1.000e-04 |  2270.4167 |       2235.5923 |      12.6515 |      14.4066 |       9.2980 |           11.8664 |           17.4224 |           20.7787 |               0
12:21 |    11 |     1.000e-04 |  2198.1103 |       2274.8855 |      12.3731 |      14.1860 |       8.5558 |           12.1240 |           17.5188 |           20.8856 |               0
12:51 |    12 |     1.000e-04 |  2141.3886 |       2164.2373 |      11.5298 |      14.4659 |       8.8545 |           11.8610 |           16.9876 |           20.5702 |               0
13:19 |    13 |     1.000e-04 |  2087.9252 |       2113.0830 |      11.2125 |      14.1727 |       8.5899 |           11.3949 |           16.8795 |           20.3407 |               0
13:47 |    14 |     1.000e-04 |  1994.4124 |       2056.4724 |      11.7880 |      13.2735 |       8.7214 |           10.9514 |           16.5896 |           20.1411 |               0
14:15 |    15 |     1.000e-04 |  1924.9028 |       1998.3881 |      11.6117 |      13.2586 |       9.3827 |           10.9246 |           16.4129 |           19.8702 |               0
14:43 |    16 |     1.000e-04 |  1881.4384 |       1971.8621 |      11.5386 |      13.4366 |       8.2491 |           10.8193 |           16.3260 |           19.7137 |               0
15:12 |    17 |     1.000e-04 |  1839.1679 |       1921.4899 |      11.2655 |      13.1343 |       8.6866 |           10.7552 |           16.0930 |           19.3334 |               0
15:38 |    18 |     1.000e-04 |  1797.6031 |       1911.1835 |      10.4624 |      13.3118 |       8.0975 |           10.7662 |           15.9622 |           19.4219 |               0
16:06 |    19 |     1.000e-04 |  1748.1190 |       1860.1613 |      10.4456 |      12.9997 |       8.2323 |           10.5308 |           15.8544 |           19.2024 |               0
16:33 |    20 |     1.000e-04 |  1712.0939 |       1857.3700 |      10.3894 |      13.1049 |       8.1939 |           10.3905 |           15.6337 |           19.2595 |               0
