# FEAT_ID     Feature Postfix Expression (RPN)
0             19|11|mult|0|log:1.0000000000000e+00,3.4806477736552e+01|div
1             19|12|sub|12|11|abd|sub
2             1|16|div|17|abs|mult
3             12|sp|12|5|add|mult
4             8|6|mult|13|sp|mult
5             9|cb|12|6|add|mult
6             9|7|mult|12|10|div|mult
7             18|12|sub|0|log:1.0000000000000e+00,3.4806477736552e+01|div
8             15|11|mult|exp:5.2053879264064e+00,0.0000000000000e+00,-5.8171213469481e-02,5.1860704729101e+00
9             9|exp:9.7624222401703e-01,0.0000000000000e+00|12|6|add|mult
10            11|sp|0|log:1.0000000000000e+00,3.4806477736552e+01|div
11            6|4|mult|19|sp|mult
12            1|11|div|17|abs|mult
13            11|5|mult|exp:3.3452620466500e-02,0.0000000000000e+00,5.4130844104080e+00,-5.8945364277574e+00
14            12|sp|6|5|mult|mult
15            11|6|add|6|cbrt|mult
16            8|6|mult|12|sp|mult
17            18|14|div|12|17|div|abd
18            2|sqrt|15|10|div|mult
19            12|sp|17|6|abd|mult
20            19|3|div|exp:3.9305813317368e+00,0.0000000000000e+00,1.1355391081568e+00,7.1130397745347e+00
21            11|9|mult|exp:1.2789472952399e+00,0.0000000000000e+00,5.0398106075582e+00,-2.8018828030524e+00
22            11|16|div|exp:4.8895096189096e-01,0.0000000000000e+00,5.1131194340191e+00,2.1599998309739e+00
23            13|11|mult|exp:7.9541362807192e-01,0.0000000000000e+00,-4.3799550793701e+00,4.9546978291333e+00
24            1|19|div|17|abs|mult
25            13|sp|14|6|sub|mult
26            11|sp|3|sqrt|div
27            18|6|mult|13|sp|mult
28            6|13|div|12|sp|mult
29            3|16|div|exp:2.1153758203579e-01,0.0000000000000e+00,2.4505689391137e+01,1.0459895707406e+00
30            16|3|div|exp:4.4328255536286e-01,0.0000000000000e+00,2.1651488495935e+00,4.4953500751952e+00
31            12|sp|14|6|sub|mult
32            12|9|mult|exp:6.0388850254171e-01,0.0000000000000e+00,4.4224642399564e+00,-3.0732682143301e+00
33            17|13|mult|exp:1.3775401414144e-01,0.0000000000000e+00,-3.0171175947266e-01,-4.6926876978295e+00
34            16|sp|0|log:1.0000000000000e+00,3.4806477736552e+01|div
35            11|sp|2|3|div|mult
36            12|5|add|13|sp|mult
37            10|15|div|2|sqrt|div
38            12|sp|18|6|mult|mult
39            11|0|div|exp:1.0238864323935e+02,0.0000000000000e+00,3.8757418827959e+00,5.7141664393080e+02
40            11|sp|3|cbrt|div
41            18|16|abd|log:1.0000000000000e+00,-1.9406701460617e-01,3.7893623943506e+00,7.4472112886336e+00
42            19|0|div|exp:3.7850929315107e+01,0.0000000000000e+00,1.3555913914170e+00,5.7398691066533e+02
43            18|11|sub|0|log:1.0000000000000e+00,3.4806477736552e+01|div
44            3|11|div|exp:7.7863663238563e-01,0.0000000000000e+00,2.2753484159478e+01,1.0667540326355e+00
45            0|16|div|exp:1.6447866777275e-03,0.0000000000000e+00,2.7871978475216e+03,1.1742855073425e+00
46            11|cb|0|log:1.0000000000000e+00,3.4806477736552e+01|div
47            0|19|div|exp:8.4207681482308e-04,0.0000000000000e+00,3.6561180265154e+02,1.3813279840339e+00
48            16|0|div|exp:9.7630963181301e+01,0.0000000000000e+00,2.1288052186975e+00,5.5381214666127e+02
49            0|11|div|exp:2.4062687865527e-03,0.0000000000000e+00,6.9118181835609e+02,4.0519237468289e+00
#-----------------------------------------------------------------------
50            3|6|div|15|1|mult|mult
51            2|9|div|14|1|mult|mult
52            2|1|mult|14|mult
53            3|1|mult|14|5|div|mult
54            3|sqrt|1|8|div|mult
55            1|cb|3|18|div|mult
56            14|2|mult|8|7|mult|div
57            3|1|mult|15|1|mult|mult
58            3|1|mult|14|sqrt|mult
59            3|1|mult|8|sq|div
60            9|7|mult|14|2|mult|div
61            3|15|div|14|1|mult|mult
62            3|sq|12|11|abd|mult
63            4|3|div|12|11|abd|div
64            3|exp:5.3670615855214e-01,0.0000000000000e+00|14|1|mult|mult
65            8|sp|19|2|div|mult
66            14|2|mult|9|7|mult|div
67            5|sq|14|2|mult|div
68            3|1|mult|8|exp:1.1117953893638e+00,0.0000000000000e+00|div
69            3|1|mult|8|cb|div
70            2|10|div|14|12|mult|mult
71            14|log:-1.0000000000000e+00,4.5036621417397e-01|3|1|mult|mult
72            2|19|div|8|sp|div
73            1|cb|14|3|mult|mult
74            7|log|14|2|mult|div
75            10|2|div|14|12|mult|div
76            14|2|mult|5|sq|div
77            9|1|div|14|2|mult|div
78            2|1|mult|14|5|div|mult
79            2|10|div|14|13|mult|mult
80            2|11|div|8|sp|div
81            2|8|div|14|1|mult|mult
82            1|7|div|14|2|mult|mult
83            7|exp|14|2|mult|div
84            1|sq|14|3|mult|mult
85            8|sp|11|2|div|mult
86            10|2|div|14|13|mult|div
87            17|3|mult|14|2|mult|add
88            14|2|mult|7|log|div
89            7|2|div|14|1|mult|div
90            7|nexp|14|2|mult|mult
91            14|2|mult|5|cb|div
92            5|cb|14|2|mult|div
93            5|2|div|14|1|mult|div
94            7|sq|14|2|mult|div
95            14|2|mult|7|sq|div
96            14|2|mult|7|5|mult|div
97            7|5|mult|14|2|mult|div
98            3|2|add|14|1|mult|mult
99            8|14|div|2|1|mult|div
#-----------------------------------------------------------------------
100           10|0|mult|14|17|div|mult
101           0|7|div|17|cb|div
102           0|5|div|17|cb|div
103           4|0|mult|18|17|mult|div
104           0|17|div|3|2|abd|div
105           0|17|div|18|6|add|div
106           5|0|mult|17|2|mult|div
107           18|exp:7.1735418682988e-01,0.0000000000000e+00|0|17|div|mult
108           0|17|div|17|14|abd|mult
109           15|0|mult|18|17|mult|div
110           0|17|div|8|sp|div
111           0|1|div|17|2|mult|div
112           17|0|mult|18|16|sub|div
113           0|17|div|19|14|mult|mult
114           11|17|div|14|0|mult|mult
115           9|8|mult|15|1|mult|mult
116           0|11|div|17|cb|div
117           0|8|div|17|2|mult|div
118           4|0|mult|14|17|div|mult
119           0|17|div|18|12|sub|mult
120           15|0|mult|17|2|mult|div
121           0|13|div|17|cb|div
122           0|17|div|14|12|mult|mult
123           0|17|div|18|13|add|mult
