# FEAT_ID     Score                   Feature Expression
108           0.0842559922482564866   (std_dev / av_W_change_H)
109           0.0851113667017847214   (std_dev / av_BE_H_surf)
110           0.08663232800680222     (std_dev / av_E_coh)
111           0.0885375341412881905   (ln(1.0*particle_diameter-2.999945e+00))
112           0.0885502279236546896   (av_E_def_subsurf / std_dev)
113           0.0888747055151017096   (std_dev / surface_area)
114           0.0888960697532498179   (std_dev * total_metal_loading)
115           0.0891614448099489199   (av_E_coh * std_dev)
116           0.0902360370278835616   (av_mu_C_critical_surf * std_dev)
117           0.0907632949886308105   (std_dev / av_EA)
118           0.0910190849838578148   (av_mu_C_critical_subsurf / std_dev)
119           0.0910206236680921738   (av_E_b_C_subsurf / std_dev)
120           0.0910694032075859417   (av_BE_H_subsurf * std_dev)
121           0.0916517897296309364   (total_metal_loading / std_dev)
122           0.0944460193242025597   (av_BE_H_subsurf / std_dev)
123           0.0974067937718630789   std_dev
124           0.097708710027067644    (av_mu_C_critical_surf / std_dev)
125           0.0986606346928518008   (av_delta_M1_M2_subsurf / std_dev)
126           0.0989586359183152325   (av_mu_C_critical_subsurf * std_dev)
127           0.0990198202638496033   (av_BE_H_surf / std_dev)
128           0.0999196855841098658   (surface_area / std_dev)
129           0.100130547073166376    (std_dev / particle_diameter)
130           0.100231355988251822    (av_BE_H_surf * std_dev)
131           0.101727378087190012    sqrt(std_dev)
132           0.101862307421247758    (std_dev / av_IP)
133           0.102041435449508569    (av_E_b_C_subsurf * std_dev)
134           0.102203041943627324    (1.0 / std_dev)
135           0.102579397268002817    cbrt(std_dev)
136           0.103531504972553229    (ln(1.0*std_dev-5.484400e-01))
137           0.104809220206632497    (av_E_coh / std_dev)
138           0.105491177108134798    (std_dev / av_PE)
139           0.105916861677788493    (std_dev / av_d_band_center_surf)
140           0.10782649696131949     (av_B_0 / std_dev)
141           0.109098315500252757    (av_bulk_int_dist / std_dev)
142           0.10924720171761125     (av_EA / std_dev)
143           0.109323832884595559    (av_delta_M1_M2_subsurf * std_dev)
144           0.109986347069661414    (av_d_band_center_surf / std_dev)
145           0.110110460387930417    (av_IP / std_dev)
146           0.113631937822828155    (std_dev / av_bulk_int_dist)
147           0.115462975115952368    (av_PE / std_dev)
148           0.118878042195050826    (particle_diameter / std_dev)
149           0.162412816303838331    (av_E_def_subsurf * std_dev)
#-----------------------------------------------------------------------
150           0.0480540493564936971   (av_E_def_subsurf / av_PE)
151           0.0481336532972839876   (av_delta_M1_M2_subsurf / av_PE)
152           0.0483877137930319445   (av_delta_M1_M2_subsurf / av_bulk_int_dist)
153           0.0485929436105571599   (av_delta_M1_M2_subsurf + total_metal_loading)
154           0.0487876943639645733   (av_E_def_subsurf * av_bulk_int_dist)
155           0.0488237170084148339   cbrt(av_E_def_subsurf)
156           0.0493657632729700008   (av_delta_M1_M2_subsurf / av_IP)
157           0.0496513066518717919   sqrt(av_E_def_subsurf)
158           0.0514141300930326672   (av_E_def_subsurf / av_IP)
159           0.0515733925132492929   (av_E_def_subsurf / av_bulk_int_dist)
160           0.0519696959130865332   av_E_def_subsurf
161           0.0519696959130865888   (av_E_b_C_subsurf + av_mu_C_critical_subsurf)
162           0.0524918615207057154   (av_E_def_subsurf / av_E_coh)
163           0.0528403082794909051   (exp(8.506005e-01*av_E_def_subsurf))
164           0.053487141795355457    (av_delta_M1_M2_subsurf * av_E_def_subsurf)
165           0.0544262797645010121   (av_E_def_subsurf / av_BE_H_surf)
166           0.0557581297940922122   (av_E_def_subsurf^2)
167           0.0566485474318453794   (ln(-1.0*surface_area+7.900000e+01))
168           0.0569931508880887824   (ln(-1.0*av_E_def_subsurf+4.120212e-01))
169           0.0583066295453308694   (av_E_def_subsurf^3)
170           0.0586261755157622064   (surface_area / total_metal_loading)
171           0.0595670075262432763   (av_E_def_subsurf^6)
172           0.0604496583901395768   (|av_mu_C_critical_subsurf - av_mu_C_critical_surf|)
173           0.0607869888232660111   (av_E_def_subsurf * total_metal_loading)
174           0.0621562327353197761   (av_E_def_subsurf / surface_area)
175           0.0648448851521719466   (total_metal_loading / surface_area)
176           0.0665728949714723822   (av_delta_M1_M2_subsurf * total_metal_loading)
177           0.0704864749211797509   (av_d_band_center_surf / av_W_change_H)
178           0.0715013861776553766   (av_EA / av_W_change_H)
179           0.0736212937013020624   (av_PE * surface_area)
180           0.0783122816067838429   (av_delta_M1_M2_subsurf / av_W_change_H)
181           0.079639548652624112    (av_E_def_subsurf / av_W_change_H)
182           0.0826141909024570298   (particle_diameter / av_W_change_H)
183           0.0828557911691731458   (total_metal_loading / av_W_change_H)
184           0.086215834501898389    (av_bulk_int_dist / av_W_change_H)
185           0.0872448083637651084   (1.0 / av_W_change_H)
186           0.0880388904285293039   (av_IP / av_W_change_H)
187           0.0882474320495299225   (av_PE / av_W_change_H)
188           0.090156425079165145    (surface_area / av_W_change_H)
189           0.0910877709247287365   (av_E_coh / av_W_change_H)
190           0.0911339778398814471   (std_dev / time)
191           0.093169420164923647    (av_BE_H_surf / av_W_change_H)
192           0.0957634183605142464   (av_PE / time)
193           0.0958649200120133549   (av_IP / time)
194           0.0959310453308579447   (av_B_0 / av_W_change_H)
195           0.0973169456066833305   (av_mu_C_critical_surf / av_W_change_H)
196           0.097453842970217211    (av_E_b_C_subsurf / av_W_change_H)
